ticker,cik,valid_from,valid_to,company_name,evidence
APA,6769,2015-01-01,2021-01-01,Apache Corporation,SEC 2020 filings CIK 0000006769
COG,858470,2015-01-01,2021-01-01,Cabot Oil & Gas Corporation,SEC 2020 filing CIK 0000858470
DFS,1393612,2015-01-01,2021-01-01,Discover Financial Services,SEC 2020 filing CIK 0001393612
FRC,1132979,2015-01-01,2021-01-01,First Republic Bank,SEC 2020 filings CIK 0001132979
IPG,51644,2015-01-01,2021-01-01,The Interpublic Group of Companies Inc,SEC 2020 filings CIK 0000051644
LB,701985,2015-01-01,2021-01-01,L Brands Inc,SEC 2020 filing CIK 0000701985
MXIM,743316,2015-01-01,2021-01-01,Maxim Integrated Products Inc,SEC 2020 filings CIK 0000743316
PEAK,765880,2015-01-01,2021-01-01,Healthpeak Properties Inc,SEC 2020 filings CIK 0000765880
SEE,1012100,2015-01-01,2021-01-01,Sealed Air Corporation,SEC 2020 filing CIK 0001012100
VIAC,813828,2015-01-01,2021-01-01,ViacomCBS Inc,SEC 2020 filings CIK 0000813828
WRK,1732845,2015-01-01,2021-01-01,WestRock Co,SEC 2020 filing CIK 0001732845
XOM,34088,2015-01-01,2021-01-01,Exxon Mobil Corp,SEC 2020 filing CIK 0000034088
ADT,1546640,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
AET,1122304,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
AGN,1578845,2015-01-01,2016-01-01,Allergan,SEC instance ticker evidence (2 filings) through 2015-12-15
ALTR,768251,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
ARG,804212,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
BCR,9892,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
BRCM,1054374,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
BXLT,1620546,2015-01-01,2016-01-01,,SEC instance ticker evidence (2 filings) through 2015-12-15
CA,356028,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
CAM,941548,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
CBS,813828,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
CCE,1491675,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
CELG,816284,2015-01-01,2016-01-01,Celgene,SEC instance ticker evidence (4 filings) through 2015-12-15
CHK,895126,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
COL,1137411,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
CPGX,1629995,2015-01-01,2016-01-01,,SEC instance ticker evidence (2 filings) through 2015-12-15
CSRA,1646383,2015-01-01,2016-01-01,,SEC instance ticker evidence (2 filings) through 2015-12-15
CVC,1053112,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
DD,30554,2015-01-01,2016-01-01,DuPont,SEC instance ticker evidence (4 filings) through 2015-12-15
DIS,1001039,2015-01-01,2016-01-01,Walt Disney Company (The),SEC instance ticker evidence (4 filings) through 2015-12-15
DNB,1115222,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
DO,949039,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
DOW,29915,2015-01-01,2016-01-01,Dow Inc.,SEC instance ticker evidence (4 filings) through 2015-12-15
EMC,790070,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
ENDP,1593034,2015-01-01,2016-01-01,,SEC instance ticker evidence (5 filings) through 2015-12-15
ESRX,1532063,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
ESV,314808,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
FOX,1308161,2015-01-01,2016-01-01,21st Century Fox,SEC instance ticker evidence (4 filings) through 2015-12-15
FTI,1135152,2015-01-01,2016-01-01,TechnipFMC,SEC instance ticker evidence (4 filings) through 2015-12-15
FTR,20520,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
GAS,1004155,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
GGP,1496048,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
GMCR,909954,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
HAR,800459,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
HCP,765880,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
HOT,316206,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
HRS,202058,2015-01-01,2016-01-01,,SEC instance ticker evidence (4 filings) through 2015-12-15
